state,white,black,native_american,asian,hispanic
AL,72.51,23.32,0.66,0.48,2.98
AK,45.26,0.56,45.48,1.38,2.13
AZ,59.93,0.95,28.59,0.73,20.14
AR,78.45,16.30,0.76,0.48,4.27
CA,71.54,2.68,1.72,5.54,29.51
CO,87.77,0.92,1.62,1.15,17.90
CT,86.11,4.99,0.66,2.99,7.98
DE,76.25,15.39,0.52,2.00,7.42
DC,38.50,50.70,0.30,3.50,9.10
FL,78.57,13.47,0.46,1.62,16.52
GA,62.59,30.63,0.30,1.49,6.42
HI,33.37,1.07,0.39,25.65,10.36
ID,88.82,0.30,2.52,0.49,10.70
IL,90.36,4.70,0.26,1.34,5.17
IN,94.82,1.69,0.28,0.59,3.32
IA,96.71,0.56,0.27,0.40,2.82
KS,92.96,0.96,1.87,0.43,5.07
KY,92.23,4.42,0.21,0.71,2.23
LA,64.81,30.78,0.96,0.79,2.98
ME,95.69,0.82,0.55,1.03,1.31
MD,72.12,19.46,0.34,2.98,5.93
MA,89.30,2.79,0.27,2.84,4.93
MI,90.67,4.12,1.08,0.95,3.54
MN,91.80,1.00,3.36,1.03,3.15
MS,53.80,41.83,1.61,0.55,2.32
MO,90.18,5.86,0.54,0.55,2.36
MT,84.48,0.23,11.87,0.32,2.19
NE,94.72,0.42,1.56,0.29,4.07
NV,82.33,1.57,5.58,2.01,13.17
NH,95.68,0.72,0.29,1.34,1.74
NJ,80.89,6.98,0.26,5.94,11.12
NM,65.42,0.67,15.34,0.49,45.43
NY,88.88,4.01,0.36,2.72,6.63
NC,71.52,20.40,1.79,0.93,6.41
ND,92.29,0.36,5.33,0.29,1.82
OH,92.80,3.96,0.22,0.75,2.13
OK,72.93,3.38,14.38,0.43,5.70
OR,87.39,0.53,2.58,1.38,9.75
PA,93.25,3.27,0.16,0.99,2.73
RI,89.23,2.99,0.67,1.69,6.67
SC,61.98,32.83,0.46,0.74,4.48
SD,84.82,0.29,12.03,0.32,2.04
TN,88.72,7.52,0.32,0.64,2.85
TX,82.40,5.87,0.66,1.01,39.27
UT,89.44,0.38,3.87,0.77,7.66
VT,95.87,0.77,0.37,0.91,1.38
VA,74.60,16.51,0.34,3.67,6.15
WA,82.38,1.43,3.75,3.07,10.61
WV,95.04,2.92,0.20,0.34,0.90
WI,92.96,0.94,2.62,0.79,3.32
WY,91.92,0.40,3.08,0.39,5.93
